OCCUR_DATE,Day,Month,Year,Max,Avg,Min,Round Temp,Temp Normalized
01/01/2006,1,1,2006,43,37.7,33,38,0.01415608
01/02/2006,2,1,2006,46,42.2,39,42,0.018330309
01/03/2006,3,1,2006,41,37.9,35,38,0.01415608
01/04/2006,4,1,2006,39,34.3,30,34,0.014337568
01/05/2006,5,1,2006,50,42.5,36,43,0.018330309
01/06/2006,6,1,2006,43,38,31,38,0.017967332
01/07/2006,7,1,2006,35,31,26,31,0.009255898
01/08/2006,8,1,2006,46,40.8,35,41,0.019600726
01/09/2006,9,1,2006,60,50,41,50,0.017967332
01/10/2006,10,1,2006,49,44.6,42,45,0.020689655
01/11/2006,11,1,2006,54,45.5,41,46,0.017604356
01/12/2006,12,1,2006,57,51.9,47,52,0.019056261
01/13/2006,13,1,2006,53,45.9,41,46,0.017604356
01/14/2006,14,1,2006,56,51.6,34,52,0.019056261
01/15/2006,15,1,2006,34,26,17,26,0.00707804
01/16/2006,16,1,2006,33,24.6,17,25,0.003811252
01/17/2006,17,1,2006,45,43.7,43,44,0.015426497
01/18/2006,18,1,2006,61,51,38,51,0.019056261
01/19/2006,19,1,2006,47,41.2,35,41,0.01814882
01/20/2006,20,1,2006,61,50.7,43,51,0.017967332
01/21/2006,21,1,2006,64,49,39,49,0.016878403
01/22/2006,22,1,2006,42,38.4,34,38,0.017967332
01/23/2006,23,1,2006,44,39.4,36,39,0.020326679
01/24/2006,24,1,2006,45,41.5,37,42,0.01814882
01/25/2006,25,1,2006,43,40,35,40,0.019600726
01/26/2006,26,1,2006,36,32,27,32,0.010344828
01/27/2006,27,1,2006,43,34.1,25,34,0.014337568
01/28/2006,28,1,2006,58,47.7,38,48,0.018693285
01/29/2006,29,1,2006,52,46.8,41,47,0.020145191
01/30/2006,30,1,2006,61,47.9,41,48,0.018693285
01/31/2006,31,1,2006,42,40.6,39,41,0.019600726
02/01/2006,1,2,2006,41,39.7,38,40,0.020326679
02/02/2006,2,2,2006,51,44.8,38,45,0.020689655
02/03/2006,3,2,2006,63,54.2,45,54,0.014700544
02/04/2006,4,2,2006,56,44.8,43,45,0.020689655
02/05/2006,5,2,2006,55,47.9,39,48,0.018693285
02/06/2006,6,2,2006,40,38,35,38,0.017967332
02/07/2006,7,2,2006,44,37.7,33,38,0.01415608
02/08/2006,8,2,2006,37,33,30,33,0.012341198
02/09/2006,9,2,2006,36,30.8,25,31,0.009800363
02/10/2006,10,2,2006,37,33.4,28,33,0.012341198
02/11/2006,11,2,2006,38,34,30,34,0.014337568
02/12/2006,12,2,2006,30,26.2,24,26,0.00707804
02/13/2006,13,2,2006,36,29.7,23,30,0.009618875
02/14/2006,14,2,2006,41,36.5,31,37,0.013974592
02/15/2006,15,2,2006,53,44.1,36,44,0.020689655
02/16/2006,16,2,2006,55,47,37,47,0.018693285
02/17/2006,17,2,2006,57,47.6,34,48,0.018693285
02/18/2006,18,2,2006,35,27.7,17,28,0.005444646
02/19/2006,19,2,2006,31,23.4,17,23,0.003085299
02/20/2006,20,2,2006,37,30.8,25,31,0.009800363
02/21/2006,21,2,2006,41,37.3,32,37,0.01415608
02/22/2006,22,2,2006,44,39,34,39,0.020326679
02/23/2006,23,2,2006,48,41.6,38,42,0.01814882
02/24/2006,24,2,2006,42,35.6,30,36,0.015063521
02/25/2006,25,2,2006,51,37.5,29,38,0.01415608
02/26/2006,26,2,2006,29,24,20,24,0.003811252
02/27/2006,27,2,2006,31,25.7,20,26,0.006715064
02/28/2006,28,2,2006,34,29.6,24,30,0.009618875
03/01/2006,1,3,2006,42,34.8,29,35,0.014337568
03/02/2006,2,3,2006,32,32,32,32,0.010344828
03/03/2006,3,3,2006,34,28.1,24,28,0.006896552
03/04/2006,4,3,2006,40,33.7,28,34,0.012341198
03/05/2006,5,3,2006,45,38.6,33,39,0.017967332
03/06/2006,6,3,2006,43,38,33,38,0.017967332
03/07/2006,7,3,2006,46,38.1,32,38,0.017967332
03/08/2006,8,3,2006,49,39.2,31,39,0.020326679
03/09/2006,9,3,2006,52,46.6,42,47,0.020145191
03/10/2006,10,3,2006,74,60.3,47,60,0.016878403
03/11/2006,11,3,2006,64,55,48,55,0.018874773
03/12/2006,12,3,2006,54,51.9,50,52,0.019056261
03/13/2006,13,3,2006,62,52.6,48,53,0.019419238
03/14/2006,14,3,2006,63,51.9,42,52,0.019056261
03/15/2006,15,3,2006,41,40,39,40,0.019600726
03/16/2006,16,3,2006,48,41.5,37,42,0.01814882
03/17/2006,17,3,2006,46,38.8,33,39,0.017967332
03/18/2006,18,3,2006,42,36.1,31,36,0.013974592
03/19/2006,19,3,2006,41,36.5,32,37,0.013974592
03/20/2006,20,3,2006,41,35.6,29,36,0.015063521
03/21/2006,21,3,2006,44,36,26,36,0.013974592
03/22/2006,22,3,2006,44,38.8,33,39,0.017967332
03/23/2006,23,3,2006,53,44.3,36,44,0.020689655
03/24/2006,24,3,2006,48,44.8,42,45,0.020689655
03/25/2006,25,3,2006,46,42.2,37,42,0.018330309
03/26/2006,26,3,2006,51,45.2,39,45,0.017604356
03/27/2006,27,3,2006,58,49.3,40,49,0.016878403
03/28/2006,28,3,2006,54,48,44,48,0.014700544
03/29/2006,29,3,2006,61,51.2,41,51,0.019056261
03/30/2006,30,3,2006,66,55.4,44,55,0.018874773
03/31/2006,31,3,2006,66,59,52,59,0.018511797
04/01/2006,1,4,2006,75,61.9,53,62,0.016333938
04/02/2006,2,4,2006,67,57.9,49,58,0.015426497
04/03/2006,3,4,2006,57,52.1,47,52,0.019419238
04/04/2006,4,4,2006,55,49.6,45,50,0.016878403
04/05/2006,5,4,2006,47,41.9,36,42,0.01814882
04/06/2006,6,4,2006,52,47.2,42,47,0.018693285
04/07/2006,7,4,2006,65,54.3,46,54,0.014700544
04/08/2006,8,4,2006,61,47.5,39,48,0.018693285
04/09/2006,9,4,2006,58,47.8,39,48,0.018693285
04/10/2006,10,4,2006,61,51.5,44,52,0.019056261
04/11/2006,11,4,2006,67,55.2,47,55,0.018874773
04/12/2006,12,4,2006,62,55.5,48,56,0.018874773
04/13/2006,13,4,2006,77,64.8,54,65,0.014700544
04/14/2006,14,4,2006,68,59,53,59,0.018511797
04/15/2006,15,4,2006,80,61.3,52,61,0.016333938
04/16/2006,16,4,2006,65,58.6,53,59,0.015426497
04/17/2006,17,4,2006,61,55.2,50,55,0.018874773
04/18/2006,18,4,2006,70,58.3,49,58,0.015426497
04/19/2006,19,4,2006,72,62.8,50,63,0.016878403
04/20/2006,20,4,2006,81,68.4,57,68,0.016333938
04/21/2006,21,4,2006,61,54.2,49,54,0.014700544
04/22/2006,22,4,2006,49,46.4,44,46,0.020145191
04/23/2006,23,4,2006,60,52.5,46,53,0.019419238
04/24/2006,24,4,2006,60,53.5,48,54,0.015789474
04/25/2006,25,4,2006,71,60,50,60,0.016878403
04/26/2006,26,4,2006,57,50.5,44,51,0.017967332
04/27/2006,27,4,2006,72,61.6,51,62,0.016333938
04/28/2006,28,4,2006,62,55.2,50,55,0.018874773
04/29/2006,29,4,2006,63,53.5,47,54,0.015789474
04/30/2006,30,4,2006,69,57.8,50,58,0.015426497
05/01/2006,1,5,2006,70,60.7,54,61,0.016878403
05/02/2006,2,5,2006,66,56.9,51,57,0.014882033
05/03/2006,3,5,2006,69,58.9,53,59,0.015426497
05/04/2006,4,5,2006,81,66.2,57,66,0.018330309
05/05/2006,5,5,2006,81,72.4,65,72,0.020326679
05/06/2006,6,5,2006,76,65.8,54,66,0.017604356
05/07/2006,7,5,2006,65,56.4,49,56,0.014882033
05/08/2006,8,5,2006,61,57.2,54,57,0.015426497
05/09/2006,9,5,2006,65,59.3,55,59,0.018511797
05/10/2006,10,5,2006,66,59.9,54,60,0.018511797
05/11/2006,11,5,2006,63,59,55,59,0.018511797
05/12/2006,12,5,2006,68,62.4,57,62,0.016878403
05/13/2006,13,5,2006,65,58.3,53,58,0.015426497
05/14/2006,14,5,2006,62,55.8,52,56,0.018874773
05/15/2006,15,5,2006,61,55.9,53,56,0.018874773
05/16/2006,16,5,2006,66,57.9,53,58,0.015426497
05/17/2006,17,5,2006,73,64.8,56,65,0.014700544
05/18/2006,18,5,2006,74,66.1,60,66,0.018330309
05/19/2006,19,5,2006,63,57.9,52,58,0.015426497
05/20/2006,20,5,2006,69,61.4,53,61,0.016333938
05/21/2006,21,5,2006,70,61.6,53,62,0.016333938
05/22/2006,22,5,2006,64,55.7,50,56,0.018874773
05/23/2006,23,5,2006,67,57.3,48,57,0.015426497
05/24/2006,24,5,2006,75,65.3,56,65,0.017604356
05/25/2006,25,5,2006,78,69.7,60,70,0.014700544
05/26/2006,26,5,2006,72,65.1,59,65,0.017604356
05/27/2006,27,5,2006,83,70.1,62,70,0.017241379
05/28/2006,28,5,2006,81,72.6,67,73,0.020326679
05/29/2006,29,5,2006,89,76.1,67,76,0.026134301
05/30/2006,30,5,2006,85,74,66,74,0.023956443
05/31/2006,31,5,2006,76,68.2,64,68,0.016333938
06/01/2006,1,6,2006,73,73,73,73,0.023411978
06/02/2006,2,6,2006,79,72.7,69,73,0.020326679
06/03/2006,3,6,2006,66,63.3,60,63,0.01615245
06/04/2006,4,6,2006,69,63.6,59,64,0.01615245
06/05/2006,5,6,2006,72,65.8,62,66,0.017604356
06/06/2006,6,6,2006,69,65.3,61,65,0.017604356
06/07/2006,7,6,2006,65,61.7,59,62,0.016333938
06/08/2006,8,6,2006,67,62.8,59,63,0.016878403
06/09/2006,9,6,2006,76,67.7,61,68,0.014519056
06/10/2006,10,6,2006,67,62.8,59,63,0.016878403
06/11/2006,11,6,2006,70,63.2,55,63,0.01615245
06/12/2006,12,6,2006,75,67.4,60,67,0.014519056
06/13/2006,13,6,2006,84,74.4,66,74,0.023956443
06/14/2006,14,6,2006,78,72,68,72,0.020326679
06/15/2006,15,6,2006,81,72.5,67,73,0.020326679
06/16/2006,16,6,2006,86,77.5,68,78,0.022323049
06/17/2006,17,6,2006,86,80,75,80,0.017785844
06/18/2006,18,6,2006,91,83.9,75,84,0.011615245
06/19/2006,19,6,2006,91,83.2,78,83,0.011615245
06/20/2006,20,6,2006,86,79.8,74,80,0.015789474
06/21/2006,21,6,2006,84,76.7,71,77,0.026134301
06/22/2006,22,6,2006,89,81.2,71,81,0.013974592
