Date,Day,Month,Year,Max,Avg,Min,Round Temp,Temp Normalized
11/01/2006,1,1,2006,43,37.7,33,38,1.411169366
12/02/2006,2,1,2006,46,42.2,39,42,1.434645382
13/03/2006,3,1,2006,41,37.9,35,38,1.411169366
14/04/2006,4,1,2006,39,34.3,30,34,1.064246029
15/05/2006,5,1,2006,50,42.5,36,43,1.893731904
16/06/2006,6,1,2006,43,38,31,38,1.411169366
17/07/2006,7,1,2006,35,31,26,31,0.646894645
18/08/2006,8,1,2006,46,40.8,35,41,1.640712627
19/09/2006,9,1,2006,60,50,41,50,1.891123458
110/10/2006,10,1,2006,49,44.6,42,45,1.836346089
111/11/2006,11,1,2006,54,45.5,41,46,1.729399797
112/12/2006,12,1,2006,57,51.9,47,52,1.831129196
113/13/2006,13,1,2006,53,45.9,41,46,1.729399797
114/14/2006,14,1,2006,56,51.6,34,52,1.831129196
115/15/2006,15,1,2006,34,26,17,26,0.375616245
116/16/2006,16,1,2006,33,24.6,17,25,0.172157446
117/17/2006,17,1,2006,45,43.7,43,44,2.068497796
118/18/2006,18,1,2006,61,51,38,51,1.880689673
119/19/2006,19,1,2006,47,41.2,35,41,1.640712627
120/20/2006,20,1,2006,61,50.7,43,51,1.880689673
121/21/2006,21,1,2006,64,49,39,49,1.669405535
122/22/2006,22,1,2006,42,38.4,34,38,1.411169366
123/23/2006,23,1,2006,44,39.4,36,39,1.351175105
124/24/2006,24,1,2006,45,41.5,37,42,1.434645382
125/25/2006,25,1,2006,43,40,35,40,1.606802828
126/26/2006,26,1,2006,36,32,27,32,0.626027076
127/27/2006,27,1,2006,43,34.1,25,34,1.064246029
128/28/2006,28,1,2006,58,47.7,38,48,1.585935258
129/29/2006,29,1,2006,52,46.8,41,47,1.977202181
130/30/2006,30,1,2006,61,47.9,41,48,1.585935258
131/31/2006,31,1,2006,42,40.6,39,41,1.640712627
21/01/2006,1,2,2006,41,39.7,38,40,1.606802828
22/02/2006,2,2,2006,51,44.8,38,45,1.836346089
23/03/2006,3,2,2006,63,54.2,45,54,1.742442027
24/04/2006,4,2,2006,56,44.8,43,45,1.836346089
25/05/2006,5,2,2006,55,47.9,39,48,1.585935258
26/06/2006,6,2,2006,40,38,35,38,1.411169366
27/07/2006,7,2,2006,44,37.7,33,38,1.411169366
28/08/2006,8,2,2006,37,33,30,33,0.850353444
29/09/2006,9,2,2006,36,30.8,25,31,0.646894645
210/10/2006,10,2,2006,37,33.4,28,33,0.850353444
211/11/2006,11,2,2006,38,34,30,34,1.064246029
212/12/2006,12,2,2006,30,26.2,24,26,0.375616245
213/13/2006,13,2,2006,36,29.7,23,30,0.506038553
214/14/2006,14,2,2006,41,36.5,31,37,1.207710567
215/15/2006,15,2,2006,53,44.1,36,44,2.068497796
216/16/2006,16,2,2006,55,47,37,47,1.977202181
217/17/2006,17,2,2006,57,47.6,34,48,1.585935258
218/18/2006,18,2,2006,35,27.7,17,28,0.344314892
219/19/2006,19,2,2006,31,23.4,17,23,0.143464538
220/20/2006,20,2,2006,37,30.8,25,31,0.646894645
221/21/2006,21,2,2006,41,37.3,32,37,1.207710567
222/22/2006,22,2,2006,44,39,34,39,1.351175105
223/23/2006,23,2,2006,48,41.6,38,42,1.434645382
224/24/2006,24,2,2006,42,35.6,30,36,0.774708506
225/25/2006,25,2,2006,51,37.5,29,38,1.411169366
226/26/2006,26,2,2006,29,24,20,24,0.151289877
227/27/2006,27,2,2006,31,25.7,20,26,0.375616245
228/28/2006,28,2,2006,34,29.6,24,30,0.506038553
31/01/2006,1,3,2006,42,34.8,29,35,1.152933198
32/02/2006,2,3,2006,32,32,32,32,0.626027076
33/03/2006,3,3,2006,34,28.1,24,28,0.344314892
34/04/2006,4,3,2006,40,33.7,28,34,1.064246029
35/05/2006,5,3,2006,45,38.6,33,39,1.351175105
36/06/2006,6,3,2006,43,38,33,38,1.411169366
37/07/2006,7,3,2006,46,38.1,32,38,1.411169366
38/08/2006,8,3,2006,49,39.2,31,39,1.351175105
39/09/2006,9,3,2006,52,46.6,42,47,1.977202181
310/10/2006,10,3,2006,74,60.3,47,60,1.658971751
311/11/2006,11,3,2006,64,55,48,55,1.891123458
312/12/2006,12,3,2006,54,51.9,50,52,1.831129196
313/13/2006,13,3,2006,62,52.6,48,53,1.789394058
314/14/2006,14,3,2006,63,51.9,42,52,1.831129196
315/15/2006,15,3,2006,41,40,39,40,1.606802828
316/16/2006,16,3,2006,48,41.5,37,42,1.434645382
317/17/2006,17,3,2006,46,38.8,33,39,1.351175105
318/18/2006,18,3,2006,42,36.1,31,36,0.774708506
319/19/2006,19,3,2006,41,36.5,32,37,1.207710567
320/20/2006,20,3,2006,41,35.6,29,36,0.774708506
321/21/2006,21,3,2006,44,36,26,36,0.774708506
322/22/2006,22,3,2006,44,38.8,33,39,1.351175105
323/23/2006,23,3,2006,53,44.3,36,44,2.068497796
324/24/2006,24,3,2006,48,44.8,42,45,1.836346089
325/25/2006,25,3,2006,46,42.2,37,42,1.434645382
326/26/2006,26,3,2006,51,45.2,39,45,1.836346089
327/27/2006,27,3,2006,58,49.3,40,49,1.669405535
328/28/2006,28,3,2006,54,48,44,48,1.585935258
329/29/2006,29,3,2006,61,51.2,41,51,1.880689673
330/30/2006,30,3,2006,66,55.4,44,55,1.891123458
331/31/2006,31,3,2006,66,59,52,59,2.011111981
41/01/2006,1,4,2006,75,61.9,53,62,1.825912304
42/02/2006,2,4,2006,67,57.9,49,58,1.961551504
43/03/2006,3,4,2006,57,52.1,47,52,1.831129196
44/04/2006,4,4,2006,55,49.6,45,50,1.891123458
45/05/2006,5,4,2006,47,41.9,36,42,1.434645382
46/06/2006,6,4,2006,52,47.2,42,47,1.977202181
47/07/2006,7,4,2006,65,54.3,46,54,1.742442027
48/08/2006,8,4,2006,61,47.5,39,48,1.585935258
49/09/2006,9,4,2006,58,47.8,39,48,1.585935258
410/10/2006,10,4,2006,61,51.5,44,52,1.831129196
411/11/2006,11,4,2006,67,55.2,47,55,1.891123458
412/12/2006,12,4,2006,62,55.5,48,56,1.831129196
413/13/2006,13,4,2006,77,64.8,54,65,1.857213658
414/14/2006,14,4,2006,68,59,53,59,2.011111981
415/15/2006,15,4,2006,80,61.3,52,61,1.888515012
416/16/2006,16,4,2006,65,58.6,53,59,2.011111981
417/17/2006,17,4,2006,61,55.2,50,55,1.891123458
418/18/2006,18,4,2006,70,58.3,49,58,1.961551504
419/19/2006,19,4,2006,72,62.8,50,63,1.844171427
420/20/2006,20,4,2006,81,68.4,57,68,1.885906565
421/21/2006,21,4,2006,61,54.2,49,54,1.742442027
422/22/2006,22,4,2006,49,46.4,44,46,1.729399797
423/23/2006,23,4,2006,60,52.5,46,53,1.789394058
424/24/2006,24,4,2006,60,53.5,48,54,1.742442027
425/25/2006,25,4,2006,71,60,50,60,1.658971751
426/26/2006,26,4,2006,57,50.5,44,51,1.880689673
427/27/2006,27,4,2006,72,61.6,51,62,1.825912304
428/28/2006,28,4,2006,62,55.2,50,55,1.891123458
429/29/2006,29,4,2006,63,53.5,47,54,1.742442027
430/30/2006,30,4,2006,69,57.8,50,58,1.961551504
51/01/2006,1,5,2006,70,60.7,54,61,1.888515012
52/02/2006,2,5,2006,66,56.9,51,57,1.505073428
53/03/2006,3,5,2006,69,58.9,53,59,2.011111981
54/04/2006,4,5,2006,81,66.2,57,66,2.050238673
55/05/2006,5,5,2006,81,72.4,65,72,2.355426872
56/06/2006,6,5,2006,76,65.8,54,66,2.050238673
57/07/2006,7,5,2006,65,56.4,49,56,1.831129196
58/08/2006,8,5,2006,61,57.2,54,57,1.505073428
59/09/2006,9,5,2006,65,59.3,55,59,2.011111981
510/10/2006,10,5,2006,66,59.9,54,60,1.658971751
511/11/2006,11,5,2006,63,59,55,59,2.011111981
512/12/2006,12,5,2006,68,62.4,57,62,1.825912304
513/13/2006,13,5,2006,65,58.3,53,58,1.961551504
514/14/2006,14,5,2006,62,55.8,52,56,1.831129196
515/15/2006,15,5,2006,61,55.9,53,56,1.831129196
516/16/2006,16,5,2006,66,57.9,53,58,1.961551504
517/17/2006,17,5,2006,73,64.8,56,65,1.857213658
518/18/2006,18,5,2006,74,66.1,60,66,2.050238673
519/19/2006,19,5,2006,63,57.9,52,58,1.961551504
520/20/2006,20,5,2006,69,61.4,53,61,1.888515012
521/21/2006,21,5,2006,70,61.6,53,62,1.825912304
522/22/2006,22,5,2006,64,55.7,50,56,1.831129196
523/23/2006,23,5,2006,67,57.3,48,57,1.505073428
524/24/2006,24,5,2006,75,65.3,56,65,1.857213658
525/25/2006,25,5,2006,78,69.7,60,70,1.784177166
526/26/2006,26,5,2006,72,65.1,59,65,1.857213658
527/27/2006,27,5,2006,83,70.1,62,70,1.784177166
528/28/2006,28,5,2006,81,72.6,67,73,2.347601534
529/29/2006,29,5,2006,89,76.1,67,76,2.864073871
530/30/2006,30,5,2006,85,74,66,74,2.63453061
531/31/2006,31,5,2006,76,68.2,64,68,1.885906565
61/01/2006,1,6,2006,73,73,73,73,2.347601534
62/02/2006,2,6,2006,79,72.7,69,73,2.347601534
63/03/2006,3,6,2006,66,63.3,60,63,1.844171427
64/04/2006,4,6,2006,69,63.6,59,64,1.538983228
65/05/2006,5,6,2006,72,65.8,62,66,2.050238673
66/06/2006,6,6,2006,69,65.3,61,65,1.857213658
67/07/2006,7,6,2006,65,61.7,59,62,1.825912304
68/08/2006,8,6,2006,67,62.8,59,63,1.844171427
69/09/2006,9,6,2006,76,67.7,61,68,1.885906565
610/10/2006,10,6,2006,67,62.8,59,63,1.844171427
611/11/2006,11,6,2006,70,63.2,55,63,1.844171427
612/12/2006,12,6,2006,75,67.4,60,67,1.96415995
613/13/2006,13,6,2006,84,74.4,66,74,2.63453061
614/14/2006,14,6,2006,78,72,68,72,2.355426872
615/15/2006,15,6,2006,81,72.5,67,73,2.347601534
616/16/2006,16,6,2006,86,77.5,68,78,2.154576519
617/17/2006,17,6,2006,86,80,75,80,1.737225135
618/18/2006,18,6,2006,91,83.9,75,84,1.077288259
619/19/2006,19,6,2006,91,83.2,78,83,1.379868013
620/20/2006,20,6,2006,86,79.8,74,80,1.737225135
621/21/2006,21,6,2006,84,76.7,71,77,2.864073871
622/22/2006,22,6,2006,89,81.2,71,81,1.833737642
623/23/2006,23,6,2006,88,80.8,76,81,1.833737642
624/24/2006,24,6,2006,78,73.7,71,74,2.63453061
625/25/2006,25,6,2006,76,73.2,70,73,2.347601534
626/26/2006,26,6,2006,78,74,72,74,2.63453061
627/27/2006,27,6,2006,82,76.6,73,77,2.864073871
628/28/2006,28,6,2006,87,77.1,73,77,2.864073871
629/29/2006,29,6,2006,85,76.8,71,77,2.864073871
630/30/2006,30,6,2006,83,74.8,68,75,2.934501917
71/01/2006,1,7,2006,87,78.7,69,79,2.235438349
72/02/2006,2,7,2006,92,81.8,74,82,1.301614628
73/03/2006,3,7,2006,91,83.3,77,83,1.379868013
74/04/2006,4,7,2006,91,85.1,81,85,0.581683491
75/05/2006,5,7,2006,83,76.6,70,77,2.864073871
76/06/2006,6,7,2006,79,71.7,64,72,2.355426872
77/07/2006,7,7,2006,82,74.9,67,75,2.934501917
78/08/2006,8,7,2006,82,76.7,70,77,2.864073871
79/09/2006,9,7,2006,86,79.3,74,79,2.235438349
710/10/2006,10,7,2006,85,78.2,71,78,2.154576519
